birth count,birth count_pct,county name,ethnicity desc,low birth weight ind desc,race catg desc,sort,year desc
0,0.0,Morgan,Unknown,Total,Unknown/Not Reported,35420,2010
1,018,Muskingum,Non-Hispanic,Total,White,100,2010
0,0.0,Morrow,Unknown,Total,African American  (Black),35492,2010
0,0.0,Champaign,Unknown,Low birth weight (<2500g),Unknown/Not Reported,69690,2015
*,*,Muskingum,Non-Hispanic,Total,African American  (Black),35555,2010
0,0.0,Noble,Hispanic,Total,Asian,35621,2010
0,0.0,Muskingum,Hispanic,Total,Asian,35537,2010
0,0.0,Morrow,Non-Hispanic,Total,Unknown/Not Reported,35483,2010
*,*,Muskingum,Non-Hispanic,Total,Unknown/Not Reported,35567,2010
0,0.0,Noble,Non-Hispanic,Total,African American  (Black),35639,2010
*,*,Morrow,Hispanic,Total,White,35465,2010
0,0.0,Morrow,Unknown,Total,White,35507,2010
0,0.0,Muskingum,Unknown,Total,Native American,35582,2010
*,*,Noble,Non-Hispanic,Total,White,35654,2010
32,100.0,Montgomery,Hispanic,Total,White,35297,2010
382,100.0,Morrow,Non-Hispanic,Total,White,35486,2010
*,*,Clark,Non-Hispanic,Low birth weight (<2500g),African American  (Black),85029,2017 **
1,173,Clark,Non-Hispanic,Normal birth weight (2500g+),White,90,2017 **
*,*,Clark,Hispanic,Normal birth weight (2500g+),Asian,85012,2017 **
0,0.0,Monroe,Unknown,Total,African American  (Black),65816,2014
0,0.0,Miami,Unknown,Total,Asian,65735,2014
0,0.0,Monroe,Unknown,Total,Native American,65822,2014
1,695,Montgomery,Non-Hispanic,Total,African American  (Black),100,2014
*,*,Morrow,Non-Hispanic,Total,Asian,66050,2014
*,*,Montgomery,Hispanic,Total,Native American,65864,2014
0,0.0,Montgomery,Unknown,Total,White,65915,2014
0,0.0,Morrow,Unknown,Total,Asian,66071,2014
0,0.0,Morrow,Non-Hispanic,Total,Unknown/Not Reported,66059,2014
4,393,Montgomery,Non-Hispanic,Total,White,100,2014
0,0.0,Morgan,Hispanic,Total,Pacific Islander/Hawaiian,65951,2014
*,*,Montgomery,Hispanic,Total,Unknown/Not Reported,65870,2014
0,0.0,Morgan,Hispanic,Total,Asian,65945,2014
0,0.0,Morgan,Unknown,Total,Asian,65987,2014
0,0.0,Monroe,Non-Hispanic,Total,Unknown/Not Reported,65807,2014
0,0.0,Morrow,Hispanic,Total,Asian,66029,2014
54,100.0,Montgomery,Non-Hispanic,Total,Unknown/Not Reported,65891,2014
